Model Name: GCN
Dataset: PUBMED
Hidden Layers: 2
Optimization started....
epoch: 001, loss: 1.7924, val_acc: 0.2510
epoch: 002, loss: 1.2258, val_acc: 0.6030
epoch: 003, loss: 0.9351, val_acc: 0.6670
epoch: 004, loss: 0.6850, val_acc: 0.6780
epoch: 005, loss: 0.4711, val_acc: 0.6800
epoch: 006, loss: 0.3693, val_acc: 0.6710
epoch: 007, loss: 0.3429, val_acc: 0.6470
epoch: 008, loss: 0.3502, val_acc: 0.6680
epoch: 009, loss: 0.2993, val_acc: 0.7010
epoch: 010, loss: 0.2330, val_acc: 0.7240
epoch: 011, loss: 0.2193, val_acc: 0.7460
epoch: 012, loss: 0.1882, val_acc: 0.7590
epoch: 013, loss: 0.1680, val_acc: 0.7610
epoch: 014, loss: 0.1593, val_acc: 0.7560
epoch: 015, loss: 0.1431, val_acc: 0.7570
epoch: 016, loss: 0.1341, val_acc: 0.7560
epoch: 017, loss: 0.1178, val_acc: 0.7540
epoch: 018, loss: 0.1085, val_acc: 0.7550
epoch: 019, loss: 0.0823, val_acc: 0.7590
epoch: 020, loss: 0.0824, val_acc: 0.7590
epoch: 021, loss: 0.0709, val_acc: 0.7600
epoch: 022, loss: 0.0691, val_acc: 0.7610
epoch: 023, loss: 0.0614, val_acc: 0.7600
epoch: 024, loss: 0.0530, val_acc: 0.7540
epoch: 025, loss: 0.0521, val_acc: 0.7550
epoch: 026, loss: 0.0450, val_acc: 0.7590
epoch: 027, loss: 0.0407, val_acc: 0.7630
epoch: 028, loss: 0.0306, val_acc: 0.7660
epoch: 029, loss: 0.0294, val_acc: 0.7640
epoch: 030, loss: 0.0300, val_acc: 0.7620
epoch: 031, loss: 0.0258, val_acc: 0.7590
epoch: 032, loss: 0.0264, val_acc: 0.7590
epoch: 033, loss: 0.0210, val_acc: 0.7590
epoch: 034, loss: 0.0252, val_acc: 0.7600
epoch: 035, loss: 0.0229, val_acc: 0.7570
epoch: 036, loss: 0.0196, val_acc: 0.7570
epoch: 037, loss: 0.0197, val_acc: 0.7600
